equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
1490,EQ ID 1490,General request,Shipping,13243,10/01/2024,6. General Maint,The plastic piece on one of the step ladders we use in shipping has come off. A step ladder may create a safety risk if it slides.,Closed and Completed,24,0.5,Mike diaz,0,10/02/2024 12:00 AM,Miguel Diaz - 10/02/24  1:18:42 PM: Replaced missing or damaged footings from two ladder stools . | Miguel Diaz - 10/01/24 10:56:48 AM: Ordering a set of 4 from Grainger.,[]
1490,EQ ID 1490,General request,Shipping,13292,10/07/2024,2. General Maint - High Priority,"Wrapping machine in International area. Wrap drum does not go up, it gets stuck half way.",Closed Without Action,0,0,md,0,10/07/2024 12:00 AM,Miguel Diaz - 10/07/24  8:52:35 AM: closing this to enter work on on equipment id,[]
1490,EQ ID 1490,General request,Shipping,13515,10/22/2024,6. General Maint,Fed Ex shipping team (Rigo & Verne) has requested they have the surface layer of their workstation desk be covered. Recommendation of having a protectant cover placed over the desktop.,Closed and Completed,0,1,PU,0,10/22/2024 12:00 AM,Primo Uy - 10/28/24 10:42:00 AM: Done. Made a new top. 2 pieces.,[]
1490,EQ ID 1490,General request,Shipping,13507,10/22/2024,6. General Maint,I need to have the right arm rest on my chair replaced -- the plastic covering is peeling away.,Closed and Completed,0,0.2,PU,0,10/28/2024 12:00 AM,Primo Uy - 10/28/24 10:12:24 AM: Done. R. arm padding replaced.,[]
1490,EQ ID 1490,General request,Shipping,14241,01/03/2025,2. General Maint - High Priority,Joseph found two lifts without fire extinguishers R24 and J20 both in shipping .,Closed and Completed,230,1.2,Mike d,0,01/03/2025 12:00 AM,"Miguel Diaz - 01/03/25  8:32:32 AM: Purchased and mounted two fire extinguishers one on R24 the other on J20 .Both need to be assigned #s in the fire extinguisher database .
Open attachment to view pictures if needed .","[{""name"": ""R24 fire extinguisher.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/707?guid=71fbb173-ff54-4d84-9a3c-1d97aec41961""}, {""name"": ""J20  Fire extinguisher.jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/708?guid=71fbb173-ff54-4d84-9a3c-1d97aec41961""}]"
1490,EQ ID 1490,General request,Shipping,14501,01/28/2025,2. General Maint - High Priority,Door alarm is not working properly in the middle of the shipping exit door across from receiving  .,Closed and Completed,0,0.3,Mike Gabriel,0,01/28/2025 12:00 AM,Miguel Diaz - 01/28/25 10:29:08 AM: Repaired door adjusted the arm so it activates properly .,[]
1490,EQ ID 1490,General request,Shipping,14977,03/07/2025,6. General Maint,The tape machine against the wall by international shipping is leaking water.,Closed and Completed,0,0.35,PU,0,03/07/2025 12:00 AM,Primo Uy - 03/07/25 10:48:23 AM: Done..,[]
1490,EQ ID 1490,General request,Shipping,15229,04/01/2025,2. General Maint - High Priority,Jammed Stapler Gun.,Closed and Completed,0,0.35,PU,0,04/01/2025 12:00 AM,"Primo Uy - 04/01/25  8:46:32 AM: Removed half of the staple wire clip from the magazine, it overlaps each other and hard to extract them manually.
Have to use a hammer and a screwdriver to drive them out. Staple gun is now working.",[]
1490,EQ ID 1490,General request,Shipping,17307,10/15/2025,6. General Maint,"Hi Team 4-

One of our carts wheels broke (pic attached). Since we are unable to fix it, can we please buy a new one? I found one similar online at Uline: https://www.uline.com/BL_183/Stock-Picking-Carts",Closed and Completed,0,0,Shinobi,0,10/21/2025 08:00 AM,"Gabriel Shinobi - 10/21/25  8:35:27 AM: Tracy ordered replacement, will build once it arrives. will close work order","[{""name"": ""Image (44).jpg"", ""url"": ""https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/853?guid=bf26a669-39fe-4124-b4ce-8d93b1e0ad5d""}]"
1490,EQ ID 1490,General request,Shipping,17498,10/28/2025,2. General Maint - High Priority,Verne's electric tape machine keeps getting jammed from the tape.,Closed and Completed,0,0.25,PU,0,10/28/2025 12:00 AM,Primo Uy - 10/28/25  1:18:30 PM: Done. Remove all dirt and grimes on the opening (out feed slider guide.). Add lubricant. Tape dispenser is now working.,[]
