equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,owner,assigned_to,downtime_hours,completed_datetime,comments,attachments
36,EQ ID 36,Air compressor 75 HP,Maintenance,16177,06/20/2025,2. General Maint - High Priority,The oil gage is not working,Closed and Completed,300,0.3,Max,,,0,06/21/2025 10:00 AM,Maksim Bushka - 06/21/25  9:17:41 AM: Replaced the oil gage,"[{'name': '23.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/784?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '27.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/785?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '26.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/786?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '24.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/787?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}, {'name': '25.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/788?guid=a5e73efa-bd68-4a38-b9ea-6b143e933d12'}]"
5377,EQ ID 5377,40HP Oil-injected Screw Air Compressor,Maintenance,19827,06/11/2026,6. General Maint,Hello team. Please replace the oil/ water separator filters. There should be the floating one inside the container and the larger one that attaches to the back on the container. Thank you,Closed and Completed,0,0.5,Max,,,0,06/18/2026 12:00 AM,,[]
5240,EQ ID 5240,2nd Floor Patio,Maintenance,8100,11/21/2023,2. General Maint - High Priority,Management advised the planters are leaking water onto the floor pavers,Closed and Completed,0,0.5,"Gardner M,ike Max",,,0,11/21/2023 12:00 AM,Miguel Diaz - 11/21/23 11:04:16 AM: Gardner helped us find the valve for the 2 nd floor patio which is the first box closest to the smoking benches he advised the solenoid was open he manually close the valve opened it then adjusted the solenoid and the water stopped leaking .Basically it was out of adjustment .,[]
5239,EQ ID 5239,AC VAV Valves,Maintenance,7304,09/20/2023,"5. Prod Ongoing, Maint Required",Max had to shut off ball valve to VAV in the lunch room because it was leaking a while back .,Closed and Completed,990,4,Acco tech Josh,,,0,09/19/2023 12:00 AM,Miguel Diaz - 10/20/23 11:53:54 AM: Cost is in to close out this work order | Miguel Diaz - 09/20/23  9:48:13 AM: Acco came by yesterday and replaced the ball valve and fittings .Valve is back open and water is flowing to the VAV work order will stay open till final cost is in .,[]
5239,EQ ID 5239,AC VAV Valves,Maintenance,11515,05/03/2024,2. General Maint - High Priority,One of the VAV's in the lunch room is leaking water onto the floor .,Closed and Completed,340,0,Acco tech Allan,,,0,09/02/2024 12:00 AM,"Miguel Diaz - 09/17/24  8:30:31 AM: New battery has been put in the lift comes with 5 year Warranty .
Model 24-85n-19 Make IBE S/N 5519 | Miguel Diaz - 05/08/24  6:05:43 AM: Acco tech was here yesterday and found that a union was loose .When he closed the valve manually it started leaking .After tightening the union the leak stopped .Next time if we have a leaking VAV we need to close the valve watch where the leak is coming from And tighten the hardware before calling ACCO .Work order will stay open till final cost is in . | Miguel Diaz - 05/04/24  7:20:38 AM: A bucket and signs have been placed under the drip Acco will be here Tuesday to look at it .",[]
5212,EQ ID 5212,Exhaust #6 First floor line 5 glue fumes exhaust,Maintenance,5169,04/06/2023,2. General Maint - High Priority,Exhaust is making the roof shake a little employees are complaining they hear vibrations from the roof .,Closed and Completed,4545,5,Acco tech,,,0,05/12/2023 12:00 AM,"Miguel Diaz - 05/12/23 11:25:21 AM: Final cost is in . | Miguel Diaz - 04/06/23  7:38:35 AM: Looked into this issue found exhaust fan #6 not working smoothly almost as if the bearings at worn out we add grease and its still the same .
Called in ACCO for service tech Chris advised he needs to replace several parts Motor was replaced along with the shaft , bearings and springs .Unit is running smoothly now work order will stay open till final cost is in .",[]
5185,EQ ID 5185,Rear yard lot,Maintenance,3126,11/05/2022,2. General Maint - High Priority,Need to clean behind all pallets maker sure drainage is clear for rain .,Closed and Completed,0,8,Mike D Primo U,,,0,11/05/2022 12:00 AM,"Miguel Diaz - 11/05/22  9:57:14 AM: Moved all pallets forward swept all debris behind the pallets and the floor  drain for the whole rear yard all along the perimeter .
Next weekend a company is coming out to wet scrub the floor .Open attachment to view pictures if needed .","[{'name': 'rear yard 2.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/162?guid=cb4f4627-da0a-4fd7-bcfb-1e82a330c514'}, {'name': 'rear yard 1.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/163?guid=cb4f4627-da0a-4fd7-bcfb-1e82a330c514'}]"
5185,EQ ID 5185,Rear yard lot,Maintenance,6366,07/08/2023,2. General Maint - High Priority,Semi annual pressure washing level 2 BMP,Closed and Completed,0,8,Swiss property maintenance/ Primo Max,,,0,07/08/2023 12:00 AM,"Miguel Diaz - 07/10/23 11:46:42 AM: Swiss property maintenance was contracted to do the pressure washing for our rear yard
 Open attachment to view pictures if needed .","[{'name': 're5.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/315?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're3.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/316?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're4.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/317?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're6.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/318?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're2.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/319?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're7.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/320?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're7.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/321?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're9.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/322?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're11.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/323?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're12.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/324?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're1.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/325?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're8.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/326?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're10.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/327?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're16.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/328?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're13.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/329?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're19.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/330?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're14.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/331?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're15.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/332?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're17.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/333?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're18.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/334?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're20.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/335?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're21.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/336?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're22.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/337?guid=837c44df-598d-4f18-9a15-c6936e613d42'}, {'name': 're23.jpg', 'url': 'https://circaweb.bobrick.com/PME/Forms/DownloadAttachment/338?guid=837c44df-598d-4f18-9a15-c6936e613d42'}]"
5185,EQ ID 5185,Rear yard lot,Maintenance,13896,11/22/2024,2. General Maint - High Priority,Before it rains we would like to power wash the rear exit concrete facing Tujunga,Closed and Completed,0,2,Max,,,0,11/22/2024 12:00 AM,Miguel Diaz - 11/22/24  1:44:19 PM: Used pressure washer to clean outside by the shipping exit  also the rain water sample location SP1,[]
5165,EQ ID 5165,ET water Controller Gen 4 and watering irrigation for outside plants,Maintenance,2197,08/18/2022,4. Prod Continuing but Affected Equipment stopped,Found station 2 on our landscape map  for watering dry,Closed and Completed,15,2,Mike Diaz,,,0,08/18/2022 12:00 AM,Miguel Diaz - 08/18/22 10:17:08 AM: Found  one controller box full with water removed water with cup and found it off turned controller  on for station 2 and found 5 leaks all over fixed all leaks by placing couplings .Watered station 2 for 30 minutes .,[]
