Division,Cell/Line/ Dept,Category,Machine and Equipment,Location and/or Workcenter,Type (capex/small tool),Serial No.,Asset #,,Year New,Condition,Service Status (in/out),As of (Year-Month), Estimated/expected replacement cost ,Estimted Replacement Year,ERY: 0-1,ERY: 1-2,ERY: 2-3,ERY:3-4,ERY: 4-5,ERY: 5+,COMMENTS
BLA,Toilet Partitions Factory,Facilities,"FRL - Filter, Regulator, Lubricator - ID 72",,capex,,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Gage (Go/No Go), Drill Diameter, Laminate - ID 1542",HPL Cell,small tool,N/A,N/A,,2027,Good,In,2017-02,,2027,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Gage (Go/No Go), Drill Diameter, Solid - ID 1541",CL Cell,small tool,N/A,N/A,,N/A,Good,In,N/A,,N/A,,,,,,,
BLA,Toilet Partitions Factory,Machine,Gannomat Index 330 Trend/PRO (Solid) - ID 1879/11617,CL Cell,capex,814.828,11617,,2019,Good,In,2019-01,,2029,,,,,,,
BLA,Toilet Partitions Factory,Maintenance,General request  - ID 1489,,N/A,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Insert 1 Screwdriver, Auto Reverse, Lever - ID 1159",CL Cell,small tool,N/A,N/A,,2014,Good,In,2014-10,,2024,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Insert Screwdriver, 1080 -1 - ID 102",CL Cell,small tool,M-69065,N/A,,2014,Good,In,2014-10,,2018,,,,,,,
BLA,Toilet Partitions Factory,Tooling,"Jig, Drill, T-203040 ECOR T-Nut Drill, Laminate - ID 1511/ ",HPL Cell,small tool,N/A,N/A,,N/A,N/A,N/A,N/A,,2027,,,,,,,
BLA,Toilet Partitions Factory,Facilities,Job Carts 1-6 - ID 810,,small tool,N/A,,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,N/A,Laminate Cell - ID 1648,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A, N/A ,N/A,,,,,,,This is not a machine/tooling.
BLA,Toilet Partitions Factory,Tooling,Laminate Drill Hole Depth Gage  - ID 1575,HPL Cell,small tool,N/A,N/A,,,,,,,2027,,,,,,,
BLA,Toilet Partitions Factory,Machine,Laminate Slitter - ID 60/10367,HPL Cell,capex,50024RB,10367,,2019,Good,In,1997-05, N/A ,2019,,,,,,,
BLA,Toilet Partitions Factory,Tooling,Materal Carts 1-2 - ID 813,General,small tool,N/A,N/A,,,,,,,,,,,,,,
BLA,Toilet Partitions Factory,Machine,Meyer rotary airlock (dust collector) - ID 804/11367,General,General,,11367,,2012,n/a,In,2012-12,,2022,,,,,,,
