equipment_id,equipment_eq_id,equipment_name,department,wo_id,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments,audit_item,due_date
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7035,Closed without Action,0.00,0.00,PU,,0.00,10/12/2023,Primo Uy - 10/12/23  7:29:53 AM: Scrap. Not in Service.,[],Check Follower Head for glue buildup it should swivel easily,9/28/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7602,Closed without Action,0.00,0.00,PU,,0.00,11/13/2023,Primo Uy - 11/13/23  9:49:00 AM: Obsolete. Replaced by the Robotic arms.,[],Check Follower Head for glue buildup it should swivel easily,11/12/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,8023,Closed without Action,0.00,0.00,PU,,0.00,12/13/2023,Primo Uy - 12/15/23  7:52:32 AM: SCRAP.,[],Check Follower Head for glue buildup it should swivel easily,12/13/2023
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,9369,Closed without Action,0.00,0.00,PU,,0.00,1/15/2024,Primo Uy - 01/15/24  1:44:25 PM: Obsolete,[],Check Follower Head for glue buildup it should swivel easily,1/15/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,9714,Closed without Action,0.00,0.00,PU,,0.00,2/14/2024,Primo Uy - 02/14/24  8:45:39 AM: SCRAP. / OBSOLETE.,[],Check Follower Head for glue buildup it should swivel easily,2/15/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10352,Closed without Action,0.00,0.00,PU,,0.00,3/7/2024,Primo Uy - 03/07/24  8:24:52 AM: Obsolete-Scrap,[],Check Follower Head for glue buildup it should swivel easily,3/14/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4905,Closed without Action,0.00,0.00,PU,,0.00,3/20/2024,Primo Uy - 03/20/24  7:38:06 AM: Scrap,[],Check hoses and rubber parts (replace as needed),3/20/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10662,Closed without Action,0.00,0.00,PU,,0.00,4/5/2024,Primo Uy - 04/08/24  7:48:37 AM: Scrap/Obsolete,[],Check Follower Head for glue buildup it should swivel easily,4/7/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7618,Closed without Action,0.00,0.00,PU,,0.00,4/11/2024,"Primo Uy - 04/11/24  8:01:37 AM: Obsolete, Scrap.",[],"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",4/12/2024
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10971,Closed without Action,0.00,0.00,PU,,0.00,5/8/2024,Primo Uy - 05/09/24  7:40:55 AM: Obsolete,[],Check Follower Head for glue buildup it should swivel easily,5/8/2024
