equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
1764,EQ ID 1764,Tumbler,Grab Bars,7065,08/30/2023,1. Prod Stopped,Belt broke on tumbler,Closed and Completed,0,0,"Matt M, Jake D",Supervisor,0,08/30/2023 12:00 AM,Matt Miller - 08/30/23  7:33:08 AM: Replaced Belt,[]
1756,EQ ID 1756,Line 4 Coping Machine/Bader,Grab Bars,18880,03/25/2026,1. Prod Stopped,"Someone tied up the power drop out of reach to shorter people.
Please have it moved to above the machine and within reach as to accommodate LOTO rules for the plug.",Closed and Completed,0,0,Jake D,Maintenance,0,03/25/2026 12:00 AM,,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,13335,10/11/2024,"3. Prod Affected, Not Stopped","The screens on the bender and rotary trim machines keep going blank, and the operators have had to use a chip and a mouse to change programs manually. Could we reach out to TransFluid to investigate why this issue is occurring?",Closed and Completed,3500,1,Jake,Supervisor,0,11/07/2024 12:00 AM,Jake Demers - 01/15/25  3:39:29 AM: Contacted vender to order new belt | Jake Demers - 10/29/24  4:21:43 AM: New screens have been ordered | Jake Demers - 10/14/24  2:53:30 AM: Contacted Transfluid to get a quote on 2 new ones and have these repaired to be spares,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14380,01/16/2025,1. Prod Stopped,Pressure assist hydraulic fitting broke,Closed and Completed,0,0,Jake D,Maintenance,8,01/17/2025 12:00 AM,Jake Demers - 01/16/25  5:40:12 AM: CAT ordered the part for us they will be the fastest to get it in. Expected to be here first thing in the morning,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14765,02/20/2025,"5. Prod Ongoing, Maint Required",The bender on line 1 is leaking hydraulic fluid,Closed and Completed,0,0,Jake,Supervisor,0,02/20/2025 12:00 AM,Jake Demers - 02/20/25  5:43:37 AM: Replaced broken fitting,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,15267,04/03/2025,"3. Prod Affected, Not Stopped",Line 1 bender keeps shutting down and it takes 30 seconds to 1 minute to restart. This has been an ongoing issue for months.,Closed Without Action,0,0,Jake,Supervisor,0,04/02/2025 12:00 AM,Jake Demers - 04/07/25  8:30:12 AM: Duplicate work order,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,14622,02/11/2025,"3. Prod Affected, Not Stopped","After you make the first bend, the second bend can not be completed right away. There is a pause of 5-7 seconds before you can completed the second bend.",Closed and Completed,800,0.5,Jake,Supervisor,0,04/04/2025 12:00 AM,,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,15678,05/08/2025,"3. Prod Affected, Not Stopped",Bender on line 1 keep stopping during bend cycle. Operator has to wait 30 sec. to 1 minute to reset machine. This has happened between 25-30 times today.,Closed Without Action,0,0,Jake,Supervisor,0,05/08/2025 12:00 AM,Jake Demers - 05/08/25 10:05:45 AM: Multiple work orders for same issue,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,15550,04/30/2025,"3. Prod Affected, Not Stopped",Line 1 bender clamps bar but will not bend. Operator has to reset bender. That has happened around 10-15 times today. Operator just reported that the bender just bent one side of the bar and stopped. He can not get it to return to home position.,Closed and Completed,0,0,"Jake, Mike N",Supervisor,0,07/22/2025 12:00 AM,Jake Demers - 07/23/25 12:51:41 PM: Safety relay has a timer that needs to see buttons at the same time to work. This machine needs to see the buttons released at the same time as well. The 2 operators having the issue leave their finger in the one beam causing it to trip . If not it trips the safety relay and it needs time to reset which is causing it to go slower. | Jake Demers - 06/19/25 11:55:59 AM: Safety Relay is on order,[]
5307,EQ ID 5307,Line 1 Bender - Transfluid,Grab Bars,18925,03/31/2026,"3. Prod Affected, Not Stopped","A cylinder or valve is losing pressure after sitting for a while. The bender could be working fine before lunch, but when they return, the bender has lost clamp pressure.",Closed and Completed,0,0,Jake D,Supervisor,0,04/10/2026 12:00 AM,,[]
1981,EQ ID 1981,Line 3 Bender - Transfluid,Grab Bars,12356,07/11/2024,1. Prod Stopped,"Hydraulic line in nose is cracked and spraying oil.
Locked out bender",Closed and Completed,100,2,Jake,Maintenance,0,07/12/2024 12:00 AM,,[]
5022,EQ ID 5022,Line 2 Bender - Transfluid,Grab Bars,4864,03/17/2023,1. Prod Stopped,Mandrel actuator Rods,Closed and Completed,0,0,Daryl,Supervisor,0.25,03/17/2023 12:00 AM,,[]
5022,EQ ID 5022,Line 2 Bender - Transfluid,Grab Bars,10934,04/04/2024,2. General Maint - High Priority,The Bender and Rotary trim on Line 1 need to be moved 1FT. closer to the south side wall. There is not enough space to walk between the bender swing arm and the shrink machine.,Closed Without Action,0,0,Jake,Supervisor,0,07/10/2024 12:00 AM,Jake Demers - 07/10/24 11:19:17 AM: layout will be changing,[]
5022,EQ ID 5022,Line 2 Bender - Transfluid,Grab Bars,12873,08/27/2024,1. Prod Stopped,Siemens Power supply arced and blew,Closed and Completed,405,0,Jake,Maintenance,0,08/28/2024 12:00 AM,,[]
5311,EQ ID 5311,Toyota Walkie Stacker Forklift (Grab Bars),Grab Bars,11578,05/08/2024,2. General Maint - High Priority,Tube Mill Operators notified the lift was plugged in for hours but not charging. Cables were getting hot enough to melt electrical tape adhesive on charger cable. Battery is also hot to the touch and acid is coming out of the cells. Operators have been notified to stop use of that lift until it can be looked at.,Closed Without Action,0,0,Jake D,M/E,0,05/08/2024 12:00 AM,Jake Demers - 05/20/24  5:01:30 AM: Lift was plugged 2 times within 1 minute which causes it to detect a 36V rather than a 24V,[]
5309,EQ ID 5309,Line 1 Robotic Flange Welder - Lincoln Electric,Grab Bars,12426,07/17/2024,1. Prod Stopped,Control unit not functioning properly on welder,Closed and Completed,6500,1,"Jake, Matt",Maintenance,16,07/19/2024 12:00 AM,,[]
5309,EQ ID 5309,Line 1 Robotic Flange Welder - Lincoln Electric,Grab Bars,14451,01/22/2025,1. Prod Stopped,Power supply board fried. Ordered a new one overnighted in hopes this is the only issue,Closed and Completed,1500,3,"Jake, Mike N",Maintenance,0,01/23/2025 12:00 AM,,[]
5309,EQ ID 5309,Line 1 Robotic Flange Welder - Lincoln Electric,Grab Bars,14485,01/28/2025,1. Prod Stopped,"As soon as you put the flanges on the pins, the door automatically goes up with pushing the button.",Closed and Completed,0,0,"Jake, Mike N",Supervisor,0,01/28/2025 12:00 AM,"Jake Demers - 01/31/25  4:41:27 AM: Start button was broke from an operator using a bar to push the button. it was stuck in the on position making it start when the sensor comes on

We put a new optotouch button in to make it upgraded like the others",[]
5309,EQ ID 5309,Line 1 Robotic Flange Welder - Lincoln Electric,Grab Bars,14662,02/13/2025,"3. Prod Affected, Not Stopped",50% of the time the welder will not start when the door goes up and the button needs to be pushed a second time. The operators were told that the clamps come down too hard and the flange bounces. Is there a way to fix this issue as it is slowing down production.,Closed Without Action,0,0,Jake,Supervisor,0,05/01/2025 12:00 AM,Jake Demers - 05/05/25  6:57:41 AM: Adjusted speed of clamps . no longer an issue,[]
1985,EQ ID 1985,Line 2 Robotic Flange Welder - Lincoln Electric,Grab Bars,11007,04/09/2024,1. Prod Stopped,Weld cooler stopped working,Closed and Completed,0,0,Jake,Maintenance,2,04/09/2024 12:00 AM,,[]
1985,EQ ID 1985,Line 2 Robotic Flange Welder - Lincoln Electric,Grab Bars,11430,04/24/2024,1. Prod Stopped,Fiberoptic Cable is bad,Closed and Completed,0,0,Jake D,Maintenance,0,04/26/2024 12:00 AM,,[]
1765,EQ ID 1765,Line 5 Robotic Flange Welder - Lincoln Electric,Grab Bars,11021,04/09/2024,2. General Maint - High Priority,Weld cooler keeps shutting off,Closed and Completed,0,0,Jake,Maintenance,6,04/16/2024 12:00 AM,,[]
1765,EQ ID 1765,Line 5 Robotic Flange Welder - Lincoln Electric,Grab Bars,11394,04/22/2024,1. Prod Stopped,The welder on the back cell stopped working,Closed and Completed,0,0,Jake D,Supervisor,0,04/23/2024 12:00 AM,,[]
