equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
5291,EQ ID 5291,Deep Bed Filter (Main Coolant Tank),Tube Mill,12885,08/27/2024,"5. Prod Ongoing, Maint Required",Main coolant tank has a leak underneath,Closed Without Action,2000,0,Matt M,Supervisor,0,09/11/2024 12:00 AM,"Jake Demers - 09/11/24  2:43:31 AM: multiple work orders for the same issue | Matt Miller - 09/04/24 11:22:39 AM: Replacement Carbon Steel Coolant Tank has been ordered 9/5/24. Will ship this week. | Matt Miller - 08/29/24 12:26:03 PM: Lifted coolant basin, discovered the bottom is very rusted and starting to rot. New replacement is $2,000 but waiting for them to forward quote so we can proceed with ordering.",[]
5291,EQ ID 5291,Deep Bed Filter (Main Coolant Tank),Tube Mill,13025,09/10/2024,"5. Prod Ongoing, Maint Required",Replace coolant tank - spare tank is in.,Closed and Completed,0,0,"Matt, Jake",Maintenance,0,09/26/2024 12:00 AM,,[]
5289,EQ ID 5289,Ytterbium Laser System,Tube Mill,12597,07/31/2024,"5. Prod Ongoing, Maint Required","The underneath of the back weld roll is still spinning, which is causing the tubing for the chiller to twist and come loose and leak inside the weld box.",Closed and Completed,0,0,Jake D,Supervisor,0,09/11/2024 12:00 AM,,[]
5288,EQ ID 5288,Shearwelder,Tube Mill,10862,03/28/2024,"5. Prod Ongoing, Maint Required",The motor that turns the drivebelt is not spinning. Operator can still butt-weld by moving manually.,Closed and Completed,0,0,Jake D,Maintenance,0,03/29/2024 12:00 AM,"Jake Demers - 03/29/24  2:48:19 AM: In the process of looking into a new door, Door will not fall off with these bolts missing",[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,7690,10/16/2023,"3. Prod Affected, Not Stopped","The bolts holding in the PVC pipe at the end of the cutter are stripped. Cannot run tube shorter than 36"" currently.",Closed and Completed,0,0,Jake D,Supervisor,0,10/17/2023 12:00 AM,,[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,12995,09/09/2024,"5. Prod Ongoing, Maint Required","First coolant line in the forming raft not working- causing the mill to be very loud, but still running.",Closed and Completed,0,0,Anthony,Supervisor,0,09/10/2024 12:00 AM,Jake Demers - 09/11/24  5:49:43 AM: Line needed to be cleaned,[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,13026,09/10/2024,"5. Prod Ongoing, Maint Required",Replace and calibrate knurling wheel,Closed and Completed,0,0,"Jake, Anthony",Maintenance,0,09/13/2024 12:00 AM,,[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,13626,10/28/2024,"5. Prod Ongoing, Maint Required",Knurling wheel for cutter needs recalibration - still giving inaccurate lengths. It is worse with longer length tubing.,Closed and Completed,0,0,"Jake, Matt",Supervisor,0,01/27/2025 12:00 AM,"Matt Miller - 01/27/25 10:44:17 AM: Replaced bad bearings, still have 1 spare set",[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,13881,11/21/2024,"5. Prod Ongoing, Maint Required",Exit end of the kick table not working properly,Closed and Completed,0,0,Matt,Supervisor,0,01/27/2025 12:00 AM,"Matt Miller - 01/27/25 10:43:52 AM: Replaced bad bearings, still have 1 spare set | Matt Miller - 12/12/24  6:34:43 AM: Replaced broken bolts for now, purchased new bearings. Once those come in we will replace any that are bad.",[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,16820,08/26/2025,"3. Prod Affected, Not Stopped","Air cylinder in lift table broke again, with potential of completely stopping production of 48"" bars and above.",Closed and Completed,0,0,"Matt M, Jake D",Supervisor,0,08/27/2025 12:00 AM,,[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,18237,01/19/2026,1. Prod Stopped,Output for Down Main cutter is bad. New output card on order to be overnighted tomorrow 1/20/2026,Closed Without Action,0,0,Jake,Maintenance,0,01/20/2026 12:00 AM,"Jake Demers - 01/22/26  8:02:37 AM: New module came in, Old one is working and will be replaced when needed",[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,18375,02/04/2026,"5. Prod Ongoing, Maint Required",Move the DI Water station to be moved back behind the mill where the other water hose is?,Closed and Completed,0,0,Matt M,Supervisor,0,03/05/2026 12:00 AM,Matt Miller - 03/05/26 10:59:39 AM: This has been moved next to the main argon tank behind tube mill.,[]
5207,EQ ID 5207,General Maintenance ( TUBE MILL ),Tube Mill,18132,01/08/2026,6. General Maint,"The wheel on the cart in the TM needs to be replaced, it doesn't roll correctly because of the wear, see outlook email for pics.",Closed and Completed,0,0,Matt M,Supervisor,0,03/09/2026 12:00 AM,Matt Miller - 03/09/26  9:56:53 AM: Wheels have been replaced.,[]
