equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,assigned_to,downtime_hours,completed_datetime,comments,attachments
5303,EQ ID 5303,Anver Lift,Toilet Partitions,13019,09/10/2024,"3. Prod Affected, Not Stopped",Lift in 1040 cell will not lift panels correctly.,Closed and Completed,0,0,Beaton,Maintenance,0,09/12/2024 12:00 PM,Matt Miller - 09/12/24  3:20:45 AM: Found leak in vacuum hose | Jake Demers - 09/11/24  2:50:15 AM: Contacting Beaton to come in and inspect,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,13760,11/11/2024,"3. Prod Affected, Not Stopped",Vacuum lift in 1080 Cell which was just inspected has a crack in one of the hoses which is not allowing operator to pick up pieces.,Closed and Completed,0,0,Matt M,Maintenance,0,12/12/2024 12:00 AM,"Matt Miller - 12/12/24 10:38:03 AM: Replaced 2"" fernco coupler",[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,15623,05/05/2025,1. Prod Stopped,The Anver Lift at the glue spreader will not pick up any parts.,Closed and Completed,0,0,Jake,Maintenance,0,05/05/2025 12:00 AM,Jake Demers - 05/05/25  6:55:16 AM: Lift was not adjusted properly,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,19261,04/30/2026,"5. Prod Ongoing, Maint Required",The vac lift in the 1040 cell needs attention as its having difficulty lifting large panels up from the finishing table.,Closed and Completed,0,0,Kyle W,Supervisor,0,04/30/2026 12:00 AM,Matt Miller - 04/30/26 10:32:45 AM: changed filter,[]
5303,EQ ID 5303,Anver Lift,Toilet Partitions,19589,05/27/2026,"3. Prod Affected, Not Stopped",The lift in HPL Cell is failing to lift large panels.,Closed and Completed,500,2,Jake,Maintenance,0,05/29/2026 12:00 AM,Jake Demers - 06/01/26  1:59:39 AM: Unit was full of packed dust over the years. Also replaced lift hose as it was starting to dry rot,[]
2009,EQ ID 2009,"Tecnolegno 3/4"" Edge Finishing Machine",Toilet Partitions,12441,07/18/2024,1. Prod Stopped,Finish Motor seized up.,Closed and Completed,300,0.75,Jake,Maintenance,0.75,07/18/2024 12:00 AM,Jake Demers - 07/18/24  7:23:54 AM: Replaced and rewired bottom chamfer finish motor,[]
314,EQ ID 314,"Tecnolegno 1/2"" Edge Finishing Machine",Toilet Partitions,13285,10/04/2024,1. Prod Stopped,Main cutter motor bearing seized up,Closed and Completed,1500,2,Jake,Maintenance,3,10/04/2024 12:00 AM,,[]
314,EQ ID 314,"Tecnolegno 1/2"" Edge Finishing Machine",Toilet Partitions,13986,12/05/2024,"3. Prod Affected, Not Stopped",Track needs to be tightened.,Closed and Completed,0,0,Rich J,Maintenance,0,12/05/2024 12:00 AM,,[]
314,EQ ID 314,"Tecnolegno 1/2"" Edge Finishing Machine",Toilet Partitions,14381,01/16/2025,1. Prod Stopped,Panel finish machine will not turn on,Closed and Completed,0,3,"Jake, Mike N",Maintenance,3,01/16/2025 12:00 AM,Jake Demers - 01/16/25 10:08:48 AM: CAT ordered the part for us they will be the fastest to get it in. Expected to be here first thing in the morning,[]
315,EQ ID 315,1080 CNC Drill (Gannomat),Toilet Partitions,1589,06/07/2022,"3. Prod Affected, Not Stopped","Operator is unable to change bits on the router. They are also unable to set programs needed for price measurements when drilling. Steve T has said he needs to do it by eyeing the depth himself. 
All issues are believed to be related to the wiring. We have bare wires showing inside of the router's track. Also are wires spliced in there. Machine slows production daily with these problems and production could be halted if wires break.",Closed and Completed,0,0,"Jake D, Mike N",Maintenance,0,10/13/2022 12:00 AM,Jake Demers - 10/14/22  4:06:52 AM: Replaced both cables that had spliced wires/ bare wires and tool touch off is fixed for setting bit height,[]
5034,EQ ID 5034,1040 CNC Drill (Gannomat),Toilet Partitions,18703,03/11/2026,1. Prod Stopped,Sensors not reading components.,Closed and Completed,0,0.5,"Jake, Rich",Supervisor,0,03/11/2026 12:00 AM,"Jake Demers - 03/11/26  8:21:59 AM: Drill Head crashed into sensor. Track also fell apart, We had to repair the track until we have time to shut down and replace with new one",[]
1589,EQ ID 1589,Anderson Router,Toilet Partitions,11535,05/06/2024,1. Prod Stopped,Router keeps shutting down during operation.,Closed and Completed,0,0,Jake D,Maintenance,0,05/06/2024 12:00 AM,Matt Miller - 05/08/24  7:03:19 AM: Repaired broken wire,[]
1589,EQ ID 1589,Anderson Router,Toilet Partitions,11960,06/05/2024,"3. Prod Affected, Not Stopped",The hose on top of the router that acts as a vacuum needs to be replaced.,Closed and Completed,0,0,"Jake D, Matt M",Maintenance,0,07/16/2024 04:00 PM,,[]
1589,EQ ID 1589,Anderson Router,Toilet Partitions,12699,08/08/2024,1. Prod Stopped,Router wont turn on,Closed and Completed,20,1,"Jake, Mike",Maintenance,1.5,08/08/2024 12:00 AM,Jake Demers - 08/08/24  5:46:17 AM: Power supply was bad in PC. Replaced and is working now,[]
1589,EQ ID 1589,Anderson Router,Toilet Partitions,10740,03/18/2024,"3. Prod Affected, Not Stopped",The router has error messages pop up first thing in the morning as well as occasionally throughout the day. We cannot router components until the message goes away and the computer gets reset. We are unsure of how to fix this. I will included a picture in the email notification that pops up.,Closed Without Action,0,0,Jake,Maintenance,0,04/09/2025 12:00 AM,Jake Demers - 04/09/25 12:31:44 PM: Its a Timing communication issue in the PLC,[]
5206,EQ ID 5206,General Maintenance ( TOILET PARTITIONS ),Toilet Partitions,8040,11/15/2023,2. General Maint - High Priority,Vacuum Lift will not lift pieces at Glue Run.,Closed and Completed,0,0,Jake D,Maintenance,1,11/15/2023 12:00 AM,,[]
5206,EQ ID 5206,General Maintenance ( TOILET PARTITIONS ),Toilet Partitions,10102,01/25/2024,1. Prod Stopped,"1000070 drill press is currently not working. Please let me know if anyone has time to look at this. 

Thanks,",Closed and Completed,0,0,Jake D,Maintenance,0,01/15/2024 12:00 AM,Jake Demers - 01/25/24  6:26:12 AM: This was completed 1/15,[]
5206,EQ ID 5206,General Maintenance ( TOILET PARTITIONS ),Toilet Partitions,10718,03/14/2024,6. General Maint,Could the Lift in the old 1030 area be removed before our next load of particle board arrives?,Closed and Completed,0,2,"Matt M, Jake D",Maintenance,0,03/14/2024 12:00 AM,,[]
5206,EQ ID 5206,General Maintenance ( TOILET PARTITIONS ),Toilet Partitions,14378,01/15/2025,"3. Prod Affected, Not Stopped",Cylinder broke on lift table,Closed and Completed,0,1,Jake,Maintenance,0,01/15/2025 12:00 AM,,[]
735,EQ ID 735,1040 Finishing Machine,Toilet Partitions,5325,04/17/2023,2. General Maint - High Priority,"When the HPL Edge finishing machine shuts off and turns on, it blows dust back at the operator",Closed and Completed,0,0,Jake D,Maintenance,0,05/18/2023 12:00 AM,,[]
735,EQ ID 735,1040 Finishing Machine,Toilet Partitions,13667,11/01/2024,"3. Prod Affected, Not Stopped",Track Oiler not working.,Closed Without Action,0,0,Jake,Maintenance,0,05/01/2025 12:00 AM,"Jake Demers - 05/05/25  6:59:26 AM: Due to the amount of dust created in this area, Operator is better off oiling the track by hand so it does not gum up mixed with wood dust",[]
757,EQ ID 757,Dust Collector,Toilet Partitions,16551,08/01/2025,6. General Maint,There is a screeching noise coming from a part of the dust collector outside every time the air compressor starts up.,Closed and Completed,0,0,Matt M,Supervisor,0,08/01/2025 12:00 AM,Matt Miller - 08/05/25  4:21:29 AM: Replaced belts,[]
318,EQ ID 318,Laminate Slitter,Toilet Partitions,1938,07/18/2022,4. Prod Continuing but Affected Equipment stopped,There is an air leak in one of the hoses over by the laminate saw. It is very loud and clear. I'm not certain which piece of equipment it affects but you will be able to hear it clearly. Please look into. Thanks,Closed and Completed,0,0,Jake D,Maintenance,0,09/01/2022 12:00 AM,,[]
318,EQ ID 318,Laminate Slitter,Toilet Partitions,18274,01/22/2026,2. General Maint - High Priority,Motor is going bad. Ordering one today. Will replace when it comes in,Closed and Completed,0,0,"Matt M, Jake D",Maintenance,0,01/27/2026 12:00 AM,,[]
324,EQ ID 324,1540 Notching Machine,Toilet Partitions,1819,06/29/2022,"3. Prod Affected, Not Stopped",The machine needs to be turned of every time they cycle it to remove the doors,Closed and Completed,0,0.25,Jake Demers,Maintenance,0,08/11/2022 12:00 AM,,[]
